Charge,Dist_m,Elev_mil,D_Elev_per_100m_DR_mil,TOF_per_100m_DR_sec,TOF_sec,Az_per_1ms_mil,w_range_1ms_h_m,w_range_1ms_t_m,air_t_1_dec_m,air_t_1_inc_m,air_dens_1_dec_m,air_dens_1_inc_m
1,3750,1126,6.9,0.6,41,1.8,10,-9.6,0.5,-0.5,-8.3,8
1,3800,1116,7.7,0.7,40.8,1.8,10,-9.6,0.6,-0.6,-8.4,7.9
1,3850,1107,7.8,0.7,40.6,1.7,10,-9.7,0.6,-0.6,-8.6,8
1,3900,1097,8.2,0.7,40.4,1.7,10,-9.7,0.6,-0.6,-8.7,8.1
1,3950,1087,8.7,0.7,40.2,1.7,10,-9.7,0.6,-0.6,-8.8,8.3
1,4000,1076,9.6,0.7,40,1.7,10,-9.7,0.3,-0.6,-9,8.4
1,4050,1066,9.7,0.7,39.7,1.6,10,-9.7,0.6,-0.6,-9,8.5
1,4100,1055,10.6,0.8,39.5,1.6,10,-9.8,0.6,-0.6,-9,8.7
1,4150,1043,10.8,0.8,39.2,1.6,10,-9.8,0.6,-0.6,-9.1,8.8
1,4200,1031,11.7,0.8,39,1.5,10,-9.8,0.6,-0.6,-9.2,8.9
1,4250,1019,12.6,0.8,38.7,1.5,10,-9.8,0.7,-0.7,-9.4,8.8
1,4300,1006,12.8,0.8,38.4,1.5,10,-9.8,0.7,-0.7,-9.3,8.9
1,4350,992,14.2,0.9,38,1.5,10,-9.8,0.7,-0.7,-9.4,9.2
1,4400,977,15.7,0.9,37.7,1.4,10,-9.9,0.7,-0.7,-9.6,9.2
1,4450,962,17.6,1,37.3,1.4,10,-9.8,0.7,-0.7,-9.7,9.4
1,4500,945,19.2,1.1,36.8,1.4,10,-9.7,0.7,-0.7,-9.6,9.2
1,4550,926,26.1,1.3,36.3,1.3,10,-9.7,0.8,-0.8,-9.9,9.4
1,4600,904,26.2,1.3,35.8,1.3,10,-9.7,0.8,-0.8,-9.9,9.4
1,4650,879,31.4,1.5,35.1,1.2,9.9,-9.6,0.8,-0.8,-10,9.4
1,4700,846,42.7,1.7,34.1,1.2,9.7,-9.7,0.9,-0.9,-9.9,9.2
1,4750,777,84.1,3.1,32,1.1,9,-8.7,0.5,-0.5,-9.9,9.2
2,700,1562,0.2,0.3,66.7,26.6,19,-19,0.1,-0.1,-2.7,2.5
2,800,1556,0.2,0.3,66.7,23.4,19,-19,0.1,-0.1,-3.1,2.9
2,900,1551,0.2,0.3,66.7,20.9,19,-19,0.1,-0.1,-3.2,3.3
2,1000,1545,0.2,0.3,66.7,18.9,19,-19,0.1,-0.1,-3.9,3.6
2,1100,1540,0.2,0.3,66.6,17.2,19,-19,0.1,-0.1,-4.3,4
2,1200,1534,0.3,0.4,66.6,15.8,19,-19,0.1,-0.1,-4.7,4.3
2,1300,1529,0.3,0.3,66.6,14.6,19,-20,0.1,-0.2,-5.1,4.7
2,1400,1523,0.3,0.4,66.6,13.6,19,-20,0.1,-0.2,-5.5,5
2,1500,1518,0.3,0.3,66.5,12.7,19,-20,0.1,-0.2,-5.8,5.4
2,1600,1512,0.3,0.3,66.5,11.9,20,-20,0.2,-0.2,-6.2,5.8
2,1700,1506,0.4,0.3,66.5,11.2,20,-20,0.2,-0.2,-6.6,5.9
2,1800,1501,0.4,0.3,66.4,10.6,20,-20,0.2,-0.2,-7,6.5
2,1900,1495,0.4,0.3,66.4,10.1,20,-20,0.2,-0.2,-7.4,6.9
2,2000,1490,0.5,0.4,66.4,9.6,20,-20,0.2,-0.2,-7.8,7.2
2,2100,1484,0.5,0.3,66.3,9.1,20,-20,0.3,-0.2,-8.2,7.6
2,2200,1478,0.5,0.4,66.3,8.7,20,-20,0.3,-0.2,-8.4,7.6
2,2300,1472,0.5,0.3,66.2,8.3,20,-20,0.3,-0.2,-8.9,8.4
2,2400,1467,0.5,0.3,66.2,8,20,-20,0.3,-0.2,-9.4,8.7
2,2500,1461,0.5,0.3,66.1,7.7,20,-20,0.3,-0.2,-9.5,8.7
2,2600,1455,0.5,0.3,66.1,7.4,21,-20,0.3,-0.2,-10,9
2,2700,1449,0.6,0.4,66,7.1,21,-20,0.2,-0.3,-11,10
2,2800,1444,0.6,0.4,66,6.9,21,-20,0.4,-0.2,-11,10
2,2900,1438,0.7,0.4,65.9,6.6,21,-20,0.3,-0.4,-11,10
2,3000,1432,0.7,0.4,65.9,6.4,21,-20,0.4,-0.3,-12,11
2,3100,1426,0.7,0.4,65.8,6.2,21,-21,0.4,-0.3,-12,11
2,3200,1420,0.8,0.4,65.7,6,21,-21,0.4,-0.3,-13,12
2,3300,1414,0.9,0.4,65.7,5.8,21,-21,0.4,-0.3,-13,12
2,3400,1408,0.9,0.4,65.6,5.7,21,-21,0.3,-0.4,-14,12
2,3500,1402,0.8,0.4,65.5,5.5,21,-21,0.4,-0.3,-14,13
2,3600,1396,0.9,0.4,65.5,5.4,22,-21,0.3,-0.3,-15,13
2,3700,1389,1,0.4,65.3,5.2,22,-21,0.3,-0.3,-15,13
2,3800,1383,0.9,0.4,65.3,5.1,22,-21,0.3,-0.3,-15,14
2,3900,1377,1,0.4,65.2,5,22,-21,0.3,-0.5,-16,15
2,4000,1371,1,0.4,65.1,4.8,22,-21,0.5,-0.4,-16,15
2,4100,1364,1,0.4,65,4.7,22,-21,0.5,-0.4,-16,15
2,4200,1358,1.1,0.4,64.9,4.6,22,-22,0.5,-0.4,-17,15
2,4300,1352,1.1,0.4,64.8,4.5,22,-22,0.4,-0.4,-17,15
2,4400,1345,1.1,0.4,64.7,4.4,22,-22,0.4,-0.6,-18,16
2,4500,1339,1.2,0.4,64.6,4.3,22,-22,0.6,-0.4,-18,16
2,4600,1332,1.2,0.4,64.5,4.2,23,-22,0.4,-0.4,-18,17
2,4700,1326,1.2,0.4,64.4,4.1,23,-22,0.4,-0.4,-19,17
2,4800,1319,1.3,0.4,64.3,4,23,-22,0.6,-0.4,-19,17
2,4900,1312,1.4,0.4,64.2,3.9,23,-22,0.6,-0.4,-20,18
2,5000,1305,1.4,0.4,64,3.9,23,-23,0.5,-0.6,-20,18
2,5100,1298,1.3,0.4,63.9,3.8,23,-23,0.6,-0.5,-20,19
2,5200,1291,1.5,0.4,63.8,3.7,23,-23,0.7,-0.5,-21,19
2,5300,1284,1.5,0.4,63.6,3.6,23,-23,0.7,-0.5,-21,20
2,5400,1277,1.6,0.4,63.5,3.6,24,-23,0.7,-0.5,-21,20
2,5500,1270,1.6,0.4,63.4,3.5,24,-23,0.5,-0.7,-22,20
2,5600,1263,1.7,0.4,63.2,3.4,24,-23,0.5,-0.7,-22,20
2,5700,1256,1.8,0.4,63.1,3.4,24,-23,0.5,-0.5,-23,21
2,5800,1248,1.7,0.4,62.9,3.3,24,-23,0.7,-0.5,-23,21
2,5900,1241,1.9,0.4,62.7,3.3,24,-23,0.5,-0.5,-24,22
2,6000,1233,1.9,0.4,62.6,3.2,24,-23,0.6,-0.6,-24,22
2,6100,1225,2.1,0.4,62.4,3.1,24,-24,0.6,-0.8,-25,22
2,6200,1218,2,0.4,62.2,3.1,24,-24,0.8,-0.6,-25,23
2,6300,1210,2,0.4,62,3,24,-24,0.8,-0.6,-25,23
2,6400,1202,2.2,0.4,61.8,3,24,-24,0.6,-0.8,-26,23
2,6500,1194,2.3,0.4,61.7,2.9,24,-24,0.9,-0.6,-26,24
2,6600,1185,2.5,0.4,61.4,2.9,25,-24,0.6,-0.9,-27,24
2,6700,1177,2.4,0.4,61.2,2.8,25,-24,0.9,-0.6,-27,25
2,6800,1168,2.6,0.4,61,2.8,25,-24,0.7,-0.6,-27,25
2,6900,1160,2.6,0.4,60.8,2.7,25,-24,0.7,-0.6,-28,25
2,7000,1151,2.8,0.5,60.6,2.7,25,-24,0.7,-0.7,-28,26
2,7100,1142,2.9,0.5,60.3,2.6,25,-24,0.7,-0.9,-29,26
2,7200,1132,3.1,0.5,60.1,2.6,25,-24,0.7,-0.7,-29,26
2,7300,1123,3.2,0.5,59.8,2.5,25,-25,0.7,-0.7,-29,27
2,7400,1113,3.2,0.5,59.5,2.5,25,-25,0.7,-0.7,-30,27
2,7500,1103,3.5,0.5,59.2,2.5,25,-24,0.7,-0.7,-30,28
2,7600,1093,3.6,0.5,58.9,2.4,25,-25,0.7,-0.7,-30,28
2,7700,1083,3.9,0.5,58.6,2.4,25,-25,0.7,-1.1,-31,28
2,7800,1072,3.9,0.5,58.3,2.3,25,-25,0.8,-0.8,-31,29
2,7900,1061,4.2,0.5,58,2.3,25,-25,0.8,-1.1,-32,29
2,8000,1050,4.6,0.5,57.6,2.2,25,-25,0.8,-0.8,-32,30
2,8100,1038,4.9,0.6,57.2,2.2,25,-25,0.8,-1.1,-33,30
2,8200,1026,5,0.6,56.8,2.1,25,-25,0.8,-0.8,-33,31
2,8300,1013,5.5,0.6,56.4,2.1,25,-25,0.8,-0.8,-33,31
2,8400,1000,5.7,0.6,56,2.1,25,-25,0.8,-0.8,-33,31
2,8500,986,6.2,0.6,55.5,2,25,-25,0.9,-0.9,-34,31
2,8600,971,6.9,0.7,55,2,25,-25,0.9,-0.9,-34,31
2,8700,956,7.3,0.7,54.4,1.9,25,-25,0.9,-0.9,-34,32
2,8800,939,8.3,0.7,53.8,1.9,25,-25,0.9,-0.9,-35,32
2,8900,921,9.4,0.8,53.1,1.8,25,-24,0.9,-0.9,-35,32
2,9000,901,10.7,0.8,52.4,1.8,25,-24,1,-1,-35,32
2,9100,879,12.5,0.9,51.5,1.7,24,-24,1,-1,-35,32
2,9200,852,15.7,1.1,50.4,1.7,24,-24,1,-1.1,-35,32
2,9300,818,21.4,1.3,49,1.6,23,-23,1.1,-1.1,-35,33
3,1000,1561,0.1,0.3,82.2,31.8,33,-32,0.1,-0.1,-5.3,4.7
3,1100,1557,0.1,0.3,82.2,29,33,-32,0.1,-0.1,-5.8,5.2
3,1200,1553,0.1,0.3,82.2,26.7,33,-32,0.1,-0.1,-6.3,5.6
3,1300,1550,0.1,0.3,82.1,24.8,33,-32,0.1,-0.1,-6.8,6.1
3,1400,1546,0.1,0.3,82.1,23.1,33,-32,0.1,-0.1,-7.3,6.6
3,1500,1538,0.1,0.3,82.1,21.6,33,-32,0.1,-0.1,-7.7,7.1
3,1600,1538,0.1,0.3,82.1,20.3,33,-32,0.2,-0.1,-8.4,7.5
3,1700,1534,0.1,0.3,82.1,19.1,33,-33,0.2,-0.1,-8.9,8
3,1800,1530,0.2,0.3,82,18.1,33,-33,0.1,-0.2,-9.5,8.4
3,1900,1526,0.2,0.3,82,17.2,33,-33,0.2,-0.2,-10,8.9
3,2000,1522,0.2,0.3,82,16.3,33,-33,0.2,-0.1,-10,9.4
3,2100,1518,0.2,0.3,82,15.6,33,-33,0.2,-0.2,-11,9.9
3,2200,1514,0.2,0.3,81.9,14.9,33,-33,0.2,-0.2,-11,10
3,2300,1510,0.2,0.3,81.9,14.2,33,-33,0.2,-0.2,-12,11
3,2400,1506,0.2,0.3,81.9,13.6,33,-33,0.2,-0.2,-13,11
3,2500,1502,0.2,0.3,81.9,13.1,33,-33,0.2,-0.2,-13,11
3,2600,1498,0.2,0.3,81.8,12.6,34,-34,0.3,-0.3,-14,12
3,2700,1494,0.3,0.3,81.8,12.1,34,-34,0.3,-0.3,-14,13
3,2800,1490,0.3,0.3,81.8,11.7,34,-34,0.3,-0.2,-15,13
3,2900,1486,0.2,0.3,81.7,11.3,34,-34,0.2,-0.2,-15,14
3,3000,1482,0.3,0.3,81.7,11,34,-34,0.3,-0.3,-16,14
3,3100,1478,0.3,0.3,81.7,10.6,34,-34,0.3,-0.3,-16,15
3,3200,1474,0.3,0.3,81.6,10.3,34,-34,0.3,-0.2,-17,15
3,3300,1470,0.3,0.3,81.6,10,34,-34,0.2,-0.2,-17,15
3,3400,1466,0.3,0.3,81.5,9.7,34,-34,0.3,-0.3,-18,16
3,3500,1462,0.3,0.3,81.5,9.4,34,-34,0.2,-0.3,-18,17
3,3600,1458,0.3,0.3,81.5,9.1,34,-34,0.3,-0.3,-19,17
3,3700,1453,0.4,0.3,81.4,8.9,34,-34,0.3,-0.3,-19,17
3,3800,1449,0.3,0.3,81.4,8.7,35,-34,0.4,-0.4,-20,18
3,3900,1445,0.4,0.3,81.3,8.3,35,-34,0.4,-0.3,-20,18
3,4000,1441,0.4,0.3,81.3,8.2,35,-34,0.4,-0.4,-21,19
3,4100,1437,0.4,0.3,81.2,8,35,-34,0.4,-0.4,-22,19
3,4200,1432,0.4,0.3,81.2,7.9,35,-34,0.4,-0.4,-22,20
3,4300,1428,0.4,0.3,81.1,7.7,35,-35,0.3,-0.4,-23,20
3,4400,1424,0.4,0.3,81.1,7.5,35,-35,0.4,-0.4,-23,21
3,4500,1420,0.5,0.3,81,7.3,35,-35,0.3,-0.4,-24,21
3,4600,1415,0.4,0.3,80.9,7.2,35,-35,0.3,-0.4,-24,22
3,4700,1411,0.5,0.3,80.9,7,35,-35,0.4,-0.4,-25,22
3,4800,1407,0.5,0.3,80.8,6.9,35,-35,0.3,-0.5,-25,23
3,4900,1402,0.5,0.3,80.7,6.7,36,-35,0.3,-0.5,-25,23
3,5000,1398,0.5,0.3,80.7,6.6,36,-35,0.3,-0.5,-27,24
3,5100,1394,0.6,0.3,80.6,6.5,36,-35,0.4,-0.5,-27,24
3,5200,1389,0.6,0.3,80.6,6.5,36,-35,0.4,-0.5,-28,25
3,5300,1385,0.5,0.3,80.5,6.2,36,-35,0.5,-0.4,-28,25
3,5400,1380,0.6,0.3,80.4,6.1,36,-36,0.4,-0.5,-29,26
3,5500,1376,0.5,0.3,80.3,6,36,-36,0.4,-0.5,-30,26
3,5600,1372,0.6,0.3,80.2,5.9,36,-36,0.4,-0.5,-30,26
3,5700,1367,0.6,0.3,80.1,5.8,36,-36,0.4,-0.5,-30,27
3,5800,1363,0.6,0.3,80.1,5.7,36,-37,0.6,-0.4,-31,28
3,5900,1358,0.6,0.3,80,5.6,37,-36,0.6,-0.4,-31,28
3,6000,1353,0.6,0.3,79.9,5.5,37,-36,0.6,-0.4,-32,28
3,6100,1349,0.7,0.3,79.8,5.4,37,-36,0.6,-0.4,-32,28
3,6200,1344,0.7,0.3,79.7,5.3,37,-36,0.6,-0.6,-33,29
3,6300,1339,0.6,0.3,79.6,5.2,37,-36,0.6,-0.4,-33,29
3,6400,1335,0.7,0.3,79.5,5.1,37,-36,0.6,-0.4,-33,30
3,6500,1330,0.7,0.3,79.4,5.1,37,-37,0.5,-0.6,-34,31
3,6600,1325,0.7,0.3,79.3,5,37,-37,0.5,-0.6,-35,31
3,6700,1320,0.8,0.3,79.2,4.9,37,-37,0.7,-0.6,-35,32
3,6800,1316,0.8,0.3,79.1,4.8,37,-37,0.5,-0.7,-36,32
3,6900,1311,0.8,0.3,79,4.8,37,-37,0.7,-0.7,-37,32
3,7000,1306,0.8,0.3,78.9,4.7,38,-37,0.7,-0.5,-37,33
3,7100,1301,0.9,0.3,78.8,4.6,38,-37,0.7,-0.7,-38,34
3,7200,1296,0.9,0.3,78.7,4.6,38,-37,0.7,-0.7,-38,34
3,7300,1291,0.8,0.3,78.6,4.5,38,-37,0.7,-0.5,-39,34
3,7400,1286,0.8,0.3,78.5,4.4,38,-37,0.7,-0.5,-39,35
3,7500,1281,0.9,0.3,78.4,4.4,38,-37,0.7,-0.5,-40,36
3,7600,1276,1,0.3,78.2,4.3,38,-37,0.9,-0.7,-41,36
3,7700,1271,1,0.3,78.1,4.2,38,-38,0.6,-0.8,-41,37
3,7800,1266,1,0.3,78,4.2,38,-38,0.6,-0.8,-41,37
3,7900,1261,1,0.3,77.9,4.1,38,-38,0.6,-0.8,-42,38
3,8000,1255,1,0.3,77.7,4.1,38,-38,0.6,-0.8,-43,38
3,8100,1250,1.1,0.3,77.6,4,38,-38,0.6,-0.8,-43,39
3,8200,1245,1.1,0.3,77.5,3.9,38,-38,0.6,-0.8,-44,39
3,8300,1239,1.2,0.4,77.3,3.9,38,-38,0.6,-0.8,-44,39
3,8400,1234,1.1,0.3,77.2,3.9,39,-38,0.8,-0.6,-45,40
3,8500,1228,1.1,0.3,77,3.8,39,-38,0.8,-0.6,-45,40
3,8600,1223,1.1,0.3,76.9,3.8,39,-38,0.8,-0.6,-46,41
3,8700,1217,1.2,0.4,76.7,3.7,39,-38,0.9,-0.6,-46,41
3,8800,1212,1.3,0.4,76.6,3.7,39,-38,0.9,-0.6,-47,42
3,8900,1206,1.3,0.4,76.4,3.6,39,-38,0.9,-0.9,-47,42
3,9000,1200,1.3,0.4,76.2,3.6,39,-39,0.9,-0.7,-48,43
3,9100,1194,1.3,0.4,76.1,3.5,39,-39,0.9,-0.7,-48,43
3,9200,1189,1.4,0.4,75.9,3.5,39,-39,0.7,-0.7,-49,44
3,9300,1177,1.4,0.4,75.5,3.4,39,-39,0.9,-0.7,-50,44
3,9400,1171,1.4,0.4,75.5,3.4,39,-39,0.9,-0.7,-50,45
3,9500,1171,1.4,0.4,75.5,3.4,39,-39,0.9,-0.7,-50,45
3,9600,1164,1.6,0.4,75.1,3.3,39,-39,0.7,-1,-51,46
