Charge,Dist_m,Elev_mil,D_Elev_per_100m_DR_mil,TOF_per_100m_DR_sec,TOF_sec,Az_per_1ms_mil,w_range_1ms_h_m,w_range_1ms_t_m,air_t_1_dec_m,air_t_1_inc_m,air_dens_1_dec_m,air_dens_1_inc_m
1,2050,194,-51.7,-0.1,9.2,0.3,1.6,-0.9,0.7,0,-1.5,2.2
1,2150,205,0,0,9.7,0.3,1,-1.7,0,-0.7,-2.3,1.6
1,2250,216,-47.7,-0.1,10.2,0.3,1.8,-1.1,0.7,0,-1.7,2.3
1,2300,221,-46.3,-0.1,10.4,0.3,1.8,-1.1,0.7,0,-1.7,2.4
1,2350,227,-45.4,-0.1,10.7,0.3,1.9,-1.2,0.7,0,-1.8,2.4
1,2400,233,-44.8,-0.1,10.9,0.3,1.9,-1.2,0.7,0,-1.8,2.5
1,2450,239,-44.4,-0.1,11.2,0.3,2,-1.3,0.7,0,-1.9,2.5
1,2500,244,-43.6,-0.1,11.5,0.3,2.1,-1.3,0.7,0,-1.9,2.5
1,2550,250,-42.7,-0.1,11.7,0.4,1.4,-2,0,-0.7,-2.6,1.9
1,2600,256,-42,-0.1,12,0.4,1.5,-2.1,0,-0.7,-2.7,1.9
1,2650,262,-41.2,-0.1,12.3,0.4,2.2,-1.5,0.7,0,-2.7,3.3
1,2700,268,-40.9,-0.1,12.5,0.4,1.6,-2.2,0,-0.7,-3.4,2.7
1,2750,274,-40.2,-0.1,12.8,0.4,1.7,-2.3,0,-0.7,-3.5,2.7
1,2800,281,-39.6,-0.1,13.1,0.4,2.4,-1.7,0.7,0,-2.8,3.4
1,2850,287,-38.9,-0.1,13.3,0.4,2.5,-2.4,0,-0.7,-3.5,2.8
1,2900,293,-38.3,-0.1,13.6,0.4,2.5,-2.5,0.7,0,-2.9,3.5
1,2950,300,-38.1,-0.2,13.9,0.4,3.2,-2.5,0.7,0,-3,3.6
1,3000,306,-37.5,-0.2,14.2,0.4,2.7,-3.2,0,-0.7,-3.7,3
1,3050,313,-37.4,-0.2,14.5,0.4,2.7,-3.3,0,-0.7,-3.7,3
1,3100,320,-36.9,-0.2,14.8,0.4,2.8,-3.4,0,-0.7,-3.8,3.1
1,3150,327,-36.3,-0.2,15.1,0.5,2.9,-3.4,0,-0.7,-4.5,3.7
1,3200,334,-36.7,-0.2,15.4,0.5,3.6,-2.9,0.6,0,-3.9,4.4
1,3250,341,-35.8,-0.2,15.7,0.5,3.7,-2.9,0.6,0,-3.9,4.5
1,3300,348,-35.7,-0.2,16,0.5,3.1,-3.7,0,-0.6,-4.6,3.9
1,3350,355,-35.3,-0.2,16.3,0.5,3.8,-3.1,0.6,0,-4.1,4.6
1,3400,363,-34.8,-0.2,16.6,0.5,3.3,-3.8,0,-0.6,-4.7,4
1,3450,370,-34.4,-0.2,16.9,0.5,4,-3.3,0.6,0,-4.2,4.7
1,3500,378,-34.8,-0.2,17.3,0.5,4.1,-3.3,0.6,0,-4.2,4.7
1,3550,386,-34.4,-0.2,17.6,0.5,3.5,-4,0,-0.6,-5.5,4.8
1,3600,394,-34.4,-0.2,17.9,0.5,3.6,-4.1,0,-0.6,-5.5,4.8
1,3650,402,-34,-0.2,18.3,0.6,3.7,-4.2,0,-0.6,-5.6,4.9
1,3700,410,-33.7,-0.3,18.6,0.6,4.4,-3.7,0.6,0,-5.1,5.5
1,3750,419,-33.8,-0.3,19,0.6,4.5,-3.8,0.6,0,-5.1,5.6
1,3800,427,-33.5,-0.3,19.3,0.6,4,-4.5,0,-0.6,-5.8,5
1,3850,437,-34,-0.3,19.7,0.6,4.7,-4.6,0.6,0,-5.8,5.7
1,3900,446,-33.7,-0.3,20.1,0.6,5.4,-4.7,0.6,-0.6,-5.9,6.3
1,3950,456,-34.2,-0.3,20.5,0.6,5.5,-4.8,0.6,-0.6,-5.9,6.3
1,4000,466,-34.4,-0.3,20.9,0.6,5,-5.5,0.6,-0.6,-6.6,5.8
1,4050,476,-34,-0.3,21.3,0.7,5.1,-5.6,0.6,-0.6,-6.6,5.9
1,4100,486,-34.7,-0.4,21.7,0.7,5.3,-5.7,0.6,-0.6,-6.7,5.9
1,4150,497,-34.4,-0.4,22.1,0.7,5.9,-5.2,1.1,-0.6,-6.7,7.1
1,4200,509,-35.5,-0.4,22.6,0.7,5.5,-5.9,0.6,-1.1,-7.3,6.6
1,4250,521,-35.7,-0.4,23,0.7,6.2,-5.5,1.1,-0.6,-6.8,7.2
1,4300,534,-36.8,-0.5,23.5,0.7,5.8,-6.2,0.6,-1.1,-7.4,6.7
1,4350,547,-38,-0.6,24,0.7,6.5,-5.8,1.1,-0.6,-7.5,7.8
1,4400,561,-38.8,-0.6,24.6,0.8,6.6,-5.9,1.1,-0.6,-7.5,7.8
1,4450,576,-39.6,-0.6,25.1,0.8,7.3,-6.6,1.1,-0.5,-7.6,7.8
1,4500,593,-41.7,-0.7,25.7,0.8,7.4,-6.7,1,-0.5,-8.1,7.9
1,4550,611,-43.6,-0.8,26.4,0.8,7.6,-6.9,1,-0.5,-8.2,8.4
1,4600,633,-48.2,-0.9,27.2,0.9,7.8,-7.1,1,-0.5,-8.2,8.4
1,4650,657,-52.7,-1.1,28,0.9,8,-7.3,1,-0.5,-8.7,8.9
1,4700,688,-62.3,-1.4,29.1,0.9,8.3,-7.6,1,-0.5,-9.2,8.9
1,4750,754,-101.2,-2.6,31.3,1,9.2,-8.5,0.9,-0.5,-9.5,9.2
2,1200,42,0,0,3.2,0.1,0.2,-1.4,0,-1.2,-1.5,0.3
2,2700,101,0,0,7.6,0.2,1,-2,0,-1.1,-3.6,2.5
2,3100,118,0,0,8.8,0.3,1.3,-2.3,0,-1.1,-4,2.8
2,3300,127,-31.4,0,9.5,0.3,1.5,-2.5,0,-1.1,-4.2,4.1
2,3400,131,-30.5,0,9.8,0.3,1.5,-2.6,0,-1.1,-5.4,4.2
2,3500,136,0,0,10.1,0.3,1.6,-2.6,0,-1.1,-5.5,4.3
2,3600,140,-28.8,0,10.5,0.3,2.8,-1.7,1.1,0,-4.6,5.5
2,3800,150,-27.3,0,11.1,0.3,1.9,-2.9,0,-1,-5.8,4.7
2,3900,154,-26.6,0,11.4,0.3,2,-3,0,-1,-5.9,4.8
2,4000,159,-26.2,0,11.8,0.3,2.2,-3.1,0,-1,-6.1,4.9
2,4100,164,-25.4,0,12.1,0.4,3.3,-2.2,1,0,-6.2,7
2,4200,169,-25,-0.1,12.5,0.4,2.4,-3.3,0,-1,-7.3,6.2
2,4300,174,-24.5,-0.1,12.8,0.4,3.5,-2.5,1,0,-6.5,7.3
2,4400,179,-23.9,-0.1,13.2,0.4,3.6,-2.6,1,0,-6.6,7.4
2,4500,184,-23.4,-0.1,13.5,0.4,3.7,-3.7,1,0,-6.8,7.5
2,4600,189,-23.2,-0.1,13.9,0.4,3.9,-3.8,1,0,-7.9,7.7
2,4700,194,-22.4,-0.1,14.2,0.4,4,-4.9,0,-1,-9,7.8
2,4800,200,-22.3,-0.1,14.6,0.4,5,-4,1,0,-8.2,8.9
2,4900,205,-21.8,-0.1,15,0.4,4.2,-5.1,0,-1,-9.3,8.1
2,5000,211,-21.4,-0.1,15.4,0.4,4.4,-5.2,0,-1,-9.4,8.2
2,5100,216,-21.2,-0.1,15.8,0.5,5.4,-4.4,1,0,-9.6,9.3
2,5200,222,-20.6,-0.1,16.1,0.5,4.6,-5.5,0,-1,-11,9.4
2,5300,227,-20.3,-0.1,16.5,0.5,5.7,-4.7,1,0,-9.9,10
2,5400,233,-20.1,-0.1,16.9,0.5,5.9,-4.9,1,0,-10,11
2,5500,239,-19.8,-0.1,17.3,0.5,5.1,-5.9,0,-0.9,-12,11
2,5600,245,-19.5,-0.1,17.7,0.5,5.3,-6.1,0,-0.9,-12,11
2,5700,251,-19.2,-0.1,18.1,0.5,6.3,-5.3,0.9,-0.1,-11,12
2,5800,257,-19.1,-0.1,18.5,0.5,6.5,-5.5,0.9,-0.1,-12,12
2,5900,263,-18.8,-0.1,18.9,0.6,5.8,-6.5,0.1,-0.9,-14,12
2,6000,270,-18.6,-0.1,19.3,0.6,6.8,-5.8,0.9,-0.1,-13,13
2,6100,276,-18.3,-0.1,19.7,0.6,7,-6.9,0.1,-0.9,-14,13
2,6200,283,-18,-0.1,20.2,0.6,8,-7.1,0.9,-0.1,-14,14
2,6300,289,-17.7,-0.1,20.6,0.6,8.2,-7.2,0.9,-0.1,-14,15
2,6400,296,-17.7,-0.1,21.1,0.6,8.3,-7.4,0.9,-0.1,-14,15
2,6500,303,-17.5,-0.1,21.5,0.6,7.7,-8.4,0.9,-0.9,-16,14
2,6600,310,-17.6,-0.1,22,0.6,8.7,-7.8,0.9,-0.9,-16,16
2,6700,317,-17.1,-0.1,22.4,0.6,8.9,-8,0.9,-0.9,-16,16
2,6800,325,-17.1,-0.1,22.8,0.7,8.3,-9,0.9,-1.7,-18,15
2,6900,332,-17.2,-0.1,23.3,0.7,8.5,-9.2,0.9,-1.7,-18,16
2,7000,340,-17.2,-0.1,23.8,0.7,8.7,-9.4,0.9,-1.7,-18,16
2,7100,348,-16.8,-0.1,24.3,0.7,9,-9.6,0.9,-1.7,-19,17
2,7200,356,-16.6,-0.2,24.8,0.7,10,-9.9,1.6,-0.9,-18,18
2,7300,364,-16.7,-0.1,25.3,0.7,10,-11,0.9,-1.6,-20,18
2,7400,373,-16.5,-0.2,25.8,0.7,11,-10,1.6,-0.8,-20,19
2,7500,381,-16.3,-0.1,26.4,0.8,11,-11,0.8,-1.6,-21,19
2,7600,390,-16.5,-0.2,26.9,0.8,11,-12,0.8,-1.6,-21,20
2,7700,400,-16.8,-0.2,27.5,0.8,11,-12,0.8,-1.6,-22,20
2,7800,409,-16.5,-0.2,28,0.8,12,-11,1.6,-0.8,-22,21
2,7900,419,-16.8,-0.2,28.6,0.8,12,-12,0.8,-1.5,-23,21
2,8000,430,-16.7,-0.2,29.2,0.9,12,-13,0.8,-1.5,-24,22
2,8100,440,-16.6,-0.2,29.9,0.9,13,-14,0.8,-1.5,-25,22
2,8200,451,-17,-0.2,30.5,0.9,13,-14,0.8,-1.5,-25,23
2,8300,463,-17.2,-0.3,31.2,0.9,14,-13,1.5,-0.8,-25,24
2,8400,475,-17.4,-0.3,31.9,0.9,15,-14,1.5,-0.8,-26,24
2,8500,488,-17.3,-0.3,32.6,1,14,-15,0.8,-1.4,-27,25
2,8600,501,-18.1,-0.3,33.4,1,15,-14,1.4,-0.8,-27,25
2,8700,516,-18.1,-0.4,34.2,1,16,-15,1.4,-0.8,-28,26
2,8800,531,-19.5,-0.4,35,1,16,-16,0.8,-1.4,-29,26
2,8900,549,-20.4,-0.5,36,1.1,16,-17,0.7,-1.4,-30,27
2,9000,567,-21,-0.5,37,1.1,17,-17,1.3,-0.7,-30,28
2,9100,589,-23.3,-0.6,38.1,1.1,17,-18,0.7,-1.3,-31,28
2,9200,615,-26.3,-0.8,39.5,1.2,19,-19,0.7,-1.3,-32,29
2,9300,647,-31.6,-1,41.1,1.2,20,-19,1.3,-0.7,-32,31
2,9400,716,-62.9,-2.5,44.4,1.4,22,-21,1.2,-0.7,-34,32
