Charge,Dist_m,Elev_mil,D_Elev_per_100m_DR_mil,TOF_per_100m_DR_sec,TOF_sec,Az_per_1ms_mil,w_range_1ms_h_m,w_range_1ms_t_m,air_t_1_dec_m,air_t_1_inc_m,air_dens_1_dec_m,air_dens_1_inc_m,,,
1,720,70,0,0,3.6,0.1,1,-0.2,0.8,0,-0.2,1,,900,720
1,920,87,0,0,4.4,0.1,0.2,-1,0,-0.8,-1,0.2,,1100,920
1,1120,103,0,0,5.2,0.2,1.1,-0.3,0.8,0,-0.3,1.1,,1300,1120
1,1920,174,-50,-0.1,8.8,0.3,0.9,-1.6,0,-0.8,-2.4,1.6,,2100,1920
1,2020,183,0,0,9.2,0.3,1,-1.7,0,-0.8,-2.4,1.7,,2200,2020
1,2120,193,0,0,9.7,0.3,1.1,-1.8,0,-0.7,-2.5,1.7,,2300,2120
1,2220,203,-44.3,-0.1,10.2,0.3,1.2,-1.9,0,-0.7,-2.6,1.8,,2400,2220
1,2320,212,-42.3,-0.1,10.7,0.3,2,-1.2,0.7,0,-1.9,2.6,,2500,2320
1,2420,223,-41.4,-0.1,11.1,0.3,1.4,-2.1,0,-0.7,-2.8,2,,2600,2420
1,2520,233,0,0,11.6,0.3,2.2,-1.4,0.7,0,-2.9,2.8,,2700,2520
1,2620,243,-38.6,-0.1,12.1,0.4,1.6,-2.3,0,-0.7,-3.7,2.9,,2800,2620
1,2720,254,-37.7,-0.1,12.7,0.4,2.4,-1.7,0.7,0,-3,3.7,,2900,2720
1,2820,265,-36.6,-0.1,13.2,0.4,2.6,-1.8,0.7,0,-3.1,3.8,,3000,2820
1,2920,276,-35.9,-0.2,13.7,0.4,3.4,-2.6,0.7,0,-3.2,3.9,,3100,2920
1,3020,287,-34.4,-0.1,14.2,0.4,2.8,-3.4,0,-0.7,-4,3.3,,3200,3020
1,3120,299,-34.2,-0.1,14.7,0.4,3,-3.6,0,-0.7,-4.8,4,,3300,3120
1,3220,311,-33.7,-0.2,15.3,0.5,3.1,-3.7,0,-0.7,-4.9,4.2,,3400,3220
1,3320,324,-32.9,-0.2,15.9,0.5,3.9,-3.2,0.7,0,-4.4,4.9,,3500,3320
1,3420,336,-32.5,-0.2,16.4,0.5,3.4,-4,0,-0.7,-5.1,4.4,,3600,3420
1,3520,349,-32.1,-0.2,17,0.5,4.2,-3.5,0.7,0,-5.3,5.1,,3700,3520
1,3620,363,-31.4,-0.2,17.6,0.5,4.4,-3.7,0.7,0,-5.4,5.9,,3800,3620
1,3720,377,-31.1,-0.2,18.3,0.5,4.6,-3.8,0.7,0,-5.5,6,,3900,3720
1,3820,391,-30.5,-0.2,18.9,0.6,4.8,-4,0.7,0,-5.6,6.1,,4000,3820
1,3920,406,-30.3,-0.2,19.5,0.6,4.9,-4.8,0,-0.6,-7,6.2,,4100,3920
1,4020,422,-30.5,-0.3,20.2,0.6,5.1,-5.6,0,-0.6,-7.1,6.3,,4200,4020
1,4120,438,-30.4,-0.3,21,0.6,6,-5.2,0.6,-0.6,-7.2,7,,4300,4120
1,4220,455,-30.3,-0.3,21.7,0.7,5.6,-6,0.6,-0.6,-7.9,7.1,,4400,4220
1,4320,474,-31,-0.3,22.5,0.7,5.8,-6.3,0.6,-1.2,-8.1,7.2,,4500,4320
1,4420,494,-31.5,-0.4,23.3,0.7,6.1,-6.5,0.6,-1.2,-8.8,7.9,,4600,4420
1,4520,515,-32.4,-0.4,24.1,0.7,6.9,-6.2,1.2,-0.6,-8.3,8.6,,4700,4520
1,4620,538,-33.3,-0.5,25.1,0.8,7.7,-7,1.1,-0.6,-9,9.2,,4800,4620
1,4720,564,-35.6,-0.6,26.1,0.8,7.5,-7.9,0.6,-1.1,-9.6,8.8,,4900,4720
1,4820,593,-37.6,-0.7,27.3,0.8,8.4,-7.7,1.1,-0.6,-9.7,9.9,,5000,4820
1,4920,630,-42.9,-0.9,28.7,0.9,8.8,-8,1.1,-0.5,-10,10,,5100,4920
1,5020,680,-55.2,-1.3,30.5,1,9.7,-9.1,1,-0.5,-11,11,,5200,5020
2,520,43,0,0,2.5,0.1,0.1,-0.1,0,-0.9,-1,0.1,,700,520
2,620,49,0,0,2.8,0.1,1,-0.1,0.9,0,-0.1,1,,800,620
2,1420,101,0,0,5.8,0.2,1.3,-0.4,0.9,0,-0.5,1.4,,1600,1420
2,1520,108,-60.8,0,6.2,0.2,1.4,-0.5,0.9,0,-0.6,1.4,,1700,1520
2,1620,115,-57.3,0,6.6,0.2,0.6,-1.4,0,-0.9,-1.5,0.6,,1800,1620
2,1720,122,0,0,7,0.2,1.5,-0.6,0.9,0,-0.7,1.5,,1900,1720
2,1920,136,0,0,7.7,0.2,0.8,-1.6,0,-0.9,-2.6,1.7,,2100,1920
2,2020,144,-47.3,0,8.1,0.2,0.9,-1.7,0,-0.9,-2.6,1.8,,2200,2020
2,2220,159,0,0,9,0.3,1.9,-1,0.8,0,-2,2.7,,2400,2220
2,2420,174,-40.6,-0.1,9.8,0.3,2,-1.2,0.8,0,-2.1,2.9,,2600,2420
2,2520,181,-39.1,-0.1,10.2,0.3,2.1,-1.3,0.8,0,-2.2,3,,2700,2520
2,2620,189,-38.1,-0.1,10.7,0.3,2.2,-1.4,0.8,0,-2.3,3.1,,2800,2620
2,2720,198,-36.8,-0.1,11.1,0.3,2.3,-1.5,0.8,0,-3.2,3.2,,2900,2720
2,2820,206,-35.6,-0.1,11.5,0.3,1.6,-2.4,0,-0.8,-4.1,3.3,,3000,2820
2,2920,214,-34.2,-0.1,12,0.4,1.7,-2.5,0,-0.8,-4.2,3.4,,3100,2920
2,3020,222,-33.8,-0.1,12.4,0.4,2.7,-1.8,0.8,0,-3.5,4.2,,3200,3020
2,3120,231,-32.5,-0.1,12.9,0.4,2,-2.7,0,-0.8,-4.4,3.6,,3300,3120
2,3220,239,-32,-0.1,13.3,0.4,2.9,-2.8,0,-0.8,-4.5,3.7,,3400,3220
2,3320,248,-31.1,-0.1,13.8,0.4,3.8,-2.9,0.8,0,-4.7,5.3,,3500,3320
2,3420,257,-30.3,-0.1,14.3,0.4,3.1,-3.8,0,-0.8,-5.5,4.6,,3600,3420
2,3520,266,-29.5,-0.1,14.7,0.4,3.3,-4,0,-0.8,-5.6,4.8,,3700,3520
2,3620,276,-28.8,-0.1,15.2,0.5,4.2,-3.4,0.8,0,-5,5.6,,3800,3620
2,3720,285,-28.8,-0.1,15.7,0.5,3.6,-4.2,0,-0.8,-5.9,5,,3900,3720
2,3820,295,-28.5,-0.1,16.2,0.5,3.7,-4.4,0,-0.8,-6.7,5.8,,4000,3820
2,3920,305,-27.9,-0.1,16.7,0.5,3.9,-4.5,0,-0.8,-6.9,6,,4100,3920
2,4020,315,-26.9,-0.1,17.2,0.5,4,-4.7,0,-0.7,-7,6.1,,4200,4020
2,4120,326,-26.7,-0.1,17.8,0.5,4.2,-4.8,0,-0.7,-7.1,6.2,,4300,4120
2,4220,337,-26.5,-0.2,18.3,0.5,4.4,-5,0,-0.7,-8,7,,4400,4220
2,4320,347,-26.1,-0.2,18.9,0.6,5.3,-4.5,0.7,0,-7.4,7.8,,4500,4320
2,4420,359,-25.9,-0.2,19.4,0.6,5.4,-4.6,0.7,0,-7.5,8,,4600,4420
2,4520,371,-25.8,-0.2,20,0.6,5.6,-6.2,0,-0.7,-9,8.1,,4700,4520
2,4620,383,-25.4,-0.2,20.6,0.6,6.5,-5.7,0.7,-0.7,-8.5,8.9,,4800,4620
2,4720,395,-25.7,-0.2,21.2,0.6,6.7,-5.9,0.7,-0.7,-8.6,9,,4900,4720
2,4820,408,-25.6,-0.2,21.8,0.7,6.3,-6.8,0.7,-0.7,-10,9.1,,5000,4820
2,4920,422,-25.3,-0.2,22.5,0.7,6.5,-7,0.7,-1.3,-10,9.2,,5100,4920
2,5020,435,-25.3,-0.3,23.1,0.7,7.3,-6.6,1.3,-0.7,-10,10,,5200,5020
2,5120,450,-25.3,-0.3,23.8,0.7,7.6,-6.8,1.3,-0.7,-11,11,,5300,5120
2,5220,466,-26.1,-0.3,24.6,0.7,7.8,-7.1,1.3,-0.7,-11,11,,5400,5220
2,5320,482,-25.9,-0.3,25.3,0.8,8.1,-8.6,0.7,-1.3,-12,11,,5500,5320
2,5420,500,-26.3,-0.4,26.1,0.8,8.4,-8.8,0.7,-1.3,-12,11,,5600,5420
2,5520,519,-27.6,-0.4,27,0.8,8.7,-9.1,0.6,-1.2,-13,12,,5700,5520
2,5620,539,-28.5,-0.5,27.9,0.8,9,-9.4,0.6,-1.2,-14,12,,5800,5620
2,5720,562,-30,-0.5,28.9,0.9,9.3,-9.7,0.6,-1.2,-14,13,,5900,5720
2,5820,588,-31.9,-0.6,30,0.9,11,-10,1.2,-0.6,-14,14,,6000,5820
2,5920,619,-35.9,-0.8,31.3,1,11,-11,1.1,-0.6,-14,14,,6100,5920
2,6020,659,-43.5,-1.1,32.9,1,11,-12,0.6,-1.1,-16,14,,6200,6020
3,1420,73,0,0,4.9,0.1,0.4,-1.4,0,-1,-1.5,0.5,,1600,1420
3,2020,102,0,0,6.9,0.2,1.7,-0.7,1,0,-1.9,1.9,,2200,2020
3,2220,113,-43,0,7.5,0.2,0.9,-1.8,0,-1,-3.1,2.1,,2400,2220
3,2320,118,-41.3,0,7.9,0.2,0.9,-1.9,0,-1,-3.2,2.1,,2500,2320
3,2720,140,-36,0,9.3,0.3,1.3,-2.2,0,-1,-3.5,2.5,,2900,2720
3,2820,145,0,0,9.7,0.3,1.4,-2.3,0,-1,-3.6,2.6,,3000,2820
3,2920,151,-33.7,0,10,0.3,1.5,-2.4,0,-1,-3.7,3.7,,3100,2920
3,3020,157,-32.7,0,10.4,0.3,1.6,-2.5,0,-1,-4.8,3.8,,3200,3020
3,3220,168,-30.8,-0.1,11.1,0.3,2.7,-1.7,0.9,0,-4.1,4.9,,3400,3220
3,3320,174,-30,-0.1,11.5,0.3,2.8,-1.8,0.9,0,-4.2,5,,3500,3320
3,3420,180,-29.1,0,11.9,0.4,2,-2.8,0,-0.9,-5.2,4.2,,3600,3420
3,3520,186,-28.6,-0.1,12.3,0.4,2.1,-2.9,0,-0.9,-5.3,4.3,,3700,3520
3,3620,193,-28.2,-0.1,12.7,0.4,2.2,-3.1,0,-0.9,-6.4,5.3,,3800,3620
3,3720,199,-27.2,-0.1,13,0.4,2.3,-3.2,0,-0.9,-6.5,5.4,,3900,3720
3,3820,205,-26.6,-0.1,13.4,0.4,3.4,-3.3,0.9,0,-5.7,6.4,,4000,3820
3,3920,212,-26,-0.1,13.8,0.4,3.5,-4.3,0,-0.9,-6.7,5.7,,4100,3920
3,4020,218,-25.7,-0.1,14.2,0.4,3.6,-4.4,0,-0.9,-6.9,5.8,,4200,4020
3,4120,225,-24.8,-0.1,14.6,0.4,4.6,-3.7,0.9,0,-7,6.8,,4300,4120
3,4220,232,-24.3,-0.1,15,0.4,3.9,-4.7,0,-0.9,-8,6.9,,4400,4220
3,4320,238,-24.1,-0.1,15.5,0.5,4,-4.8,0,-0.9,-8.1,7,,4500,4320
3,4420,245,-23.6,-0.1,15.9,0.5,4.1,-4.9,0,-0.9,-8.3,7.2,,4600,4420
3,4520,252,-23.4,-0.1,16.3,0.5,5.1,-4.2,0.9,0,-7.6,8.1,,4700,4520
3,4620,260,-22.7,-0.1,16.8,0.5,5.3,-4.4,0.9,0,-8.6,8.3,,4800,4620
3,4720,267,-22.8,-0.1,17.2,0.5,4.6,-5.4,0,-0.9,-9.5,8.4,,4900,4720
3,4820,274,-22.1,-0.1,17.6,0.5,4.8,-5.5,0,-0.9,-9.7,8.5,,5000,4820
3,4920,282,-21.7,-0.1,18.1,0.5,4.9,-5.6,0,-0.8,-9.8,8.7,,5100,4920
3,5020,290,-21.6,-0.1,18.5,0.5,5.1,-5.8,0,-0.8,-11,9.6,,5200,5020
3,5120,298,-21.2,-0.1,19,0.6,6.1,-5.2,0.8,0,-10,11,,5300,5120
3,5220,306,-20.9,-0.1,19.5,0.6,5.5,-6.1,0,-0.8,-11,9.9,,5400,5220
3,5320,314,-20.9,-0.1,19.9,0.6,6.4,-6.3,0,-0.8,-12,11,,5500,5320
3,5420,322,-20.6,-0.1,20.4,0.6,7.4,-6.5,0.8,0,-11,12,,5600,5420
3,5520,331,-20.6,-0.2,20.9,0.6,7.6,-6.7,0.8,-0.8,-12,12,,5700,5520
3,5620,340,-20.6,-0.2,21.4,0.6,7.8,-6.9,0.8,-0.8,-13,12,,5800,5620
3,5720,349,-20,-0.2,22,0.6,7.9,-7.1,0.8,-0.8,-13,13,,5900,5720
3,5820,358,-20.3,-0.2,22.5,0.7,8.2,-7.3,1.5,-0.8,-13,13,,6000,5820
3,5920,367,-19.8,-0.2,23,0.7,8.4,-7.5,0.8,-0.8,-14,13,,6100,5920
3,6020,377,-19.8,-0.2,23.5,0.7,7.8,-8.5,0.8,-1.5,-15,13,,6200,6020
3,6120,387,-19.8,-0.2,24.1,0.7,8.8,-7.9,1.5,-0.8,-15,14,,6300,6120
3,6220,398,-19.9,-0.2,24.7,0.7,9,-8.9,1.5,-0.8,-15,15,,6400,6220
3,6320,408,-20,-0.2,25.3,0.7,9.3,-9.8,0.8,-1.5,-16,14,,6500,6320
3,6420,419,-19.8,-0.2,25.9,0.8,10,-9.4,1.5,-0.8,-16,16,,6600,6420
3,6520,431,-19.6,-0.2,26.5,0.8,10,-9.6,1.4,-0.8,-16,16,,6700,6520
3,6620,443,-20.3,-0.3,27.1,0.8,10,-11,0.8,-1.4,-18,16,,6800,6620
3,6720,456,-19.8,-0.3,27.8,0.8,10,-11,0.7,-1.4,-18,16,,6900,6720
3,6820,469,-20,-0.3,28.5,0.8,11,-10,1.4,-0.7,-18,18,,7000,6820
3,6920,483,-20.2,-0.3,29.2,0.9,12,-11,1.4,-0.7,-19,18,,7100,6920
3,7020,498,-21.6,-0.4,30,0.9,12,-12,0.7,-1.4,-20,18,,7200,7020
3,7120,513,-21.2,-0.4,30.8,0.9,13,-12,1.3,-0.7,-20,19,,7300,7120
3,7220,530,-22.4,-0.4,31.7,0.9,13,-12,1.3,-0.7,-21,20,,7400,7220
3,7320,549,-23,-0.5,32.6,1,13,-13,0.7,-1.3,-21,20,,7500,7320
3,7420,570,-24.7,-0.5,33.6,1,14,-13,1.3,-0.7,-21,21,,7600,7420
3,7520,593,-26.4,-0.6,34.7,1.1,14,-15,0.7,-1.3,-23,21,,7700,7520
3,7620,621,-29.4,-0.8,36,1.1,15,-15,0.7,-1.2,-24,22,,7800,7620
3,7720,658,-37.3,-1.1,37.8,1.2,16,-15,1.2,-0.6,-24,23,,7900,7720
4,1120,42,0,0,3.3,0.1,0.2,-0.2,1.2,0,-0.3,1.6,,1300,1120
4,1820,67,0,0,5.3,0.2,0.5,-1.7,0,-1.2,-2,0.8,,2000,1820
4,2520,93,0,0,7.3,0.2,2.1,-0.9,1.2,0,-2.6,3.6,,2700,2520
4,2720,100,0,0,7.9,0.2,1.1,-2.2,0,-1.1,-3.9,2.7,,2900,2720
4,2920,108,0,0,8.5,0.3,2.3,-1.2,1.1,0,-3,4,,3100,2920
4,3020,112,-32.3,0,8.8,0.3,1.3,-2.4,0,-1.1,-4.2,3,,3200,3020
4,3220,121,-30.4,0,9.4,0.3,1.5,-2.5,0,-1.1,-4.4,4.3,,3400,3220
4,3320,125,0,0,9.7,0.3,2.7,-1.5,1.1,0,-4.5,5.5,,3500,3320
4,3420,129,0,0,10,0.3,1.7,-2.7,0,-1.1,-5.7,4.5,,3600,3420
4,3520,133,-28.1,-0.1,10.3,0.3,2.8,-1.7,1.1,0,-4.8,5.7,,3700,3520
4,3620,137,-27.3,0,10.7,0.3,2.9,-1.8,1.1,0,-4.9,5.8,,3800,3620
4,3920,151,-25.6,-0.1,11.6,0.3,3.2,-2.1,1.1,0,-6.4,6.2,,4100,3920
4,4020,155,-25,-0.1,12,0.4,2.3,-3.3,0,-1.1,-7.5,6.3,,4200,4020
4,4120,160,-24.4,0,12.3,0.4,2.4,-3.4,0,-1.1,-7.7,6.4,,4300,4120
4,4220,164,-24.1,-0.1,12.6,0.4,3.5,-2.5,1.1,0,-6.8,7.6,,4400,4220
4,4320,169,-23.6,-0.1,13,0.4,2.6,-3.6,0,-1,-7.9,6.7,,4500,4320
4,4420,174,-22.9,0,13.3,0.4,2.8,-3.7,0,-1,-8.1,6.8,,4600,4420
4,4520,179,-22.7,-0.1,13.6,0.4,3.9,-3.8,0,-1,-9.2,7.9,,4700,4520
4,4620,183,-22.2,-0.1,14,0.4,4,-5,0,-1,-9.4,8.1,,4800,4620
4,4720,188,-21.3,0,14.3,0.4,4.1,-5.1,0,-1,-9.5,8.2,,4900,4720
4,4820,193,-21.3,-0.1,14.7,0.4,5.2,-4.2,1,0,-8.7,9.3,,5000,4820
4,4920,198,-21,-0.1,15,0.4,4.4,-5.3,0,-1,-9.8,8.5,,5100,4920
4,5020,203,-20.5,-0.1,15.4,0.4,4.5,-5.4,0,-1,-11,9.6,,5200,5020
4,5120,208,-20.5,-0.1,15.8,0.5,4.7,-5.6,0,-1,-11,9.7,,5300,5120
4,5220,214,-19.8,0,16.1,0.5,4.8,-5.7,0,-1,-11,9.9,,5400,5220
4,5320,219,-19.8,-0.1,16.5,0.5,5.9,-4.9,1,0,-10,11,,5500,5320
4,5420,224,-19.2,-0.1,16.9,0.5,6,-5,1,0,-12,11,,5600,5420
4,5520,230,-18.8,-0.1,17.3,0.5,6.2,-5.2,1,-0.1,-12,12,,5700,5520
4,5620,235,-18.8,-0.1,17.7,0.5,6.3,-5.3,1,-0.1,-12,12,,5800,5620
4,5720,241,-18.5,-0.1,18,0.5,6.5,-5.5,1,-0.1,-12,13,,5900,5720
4,5820,246,-18.2,-0.1,18.4,0.5,5.7,-6.6,0.1,-1,-14,12,,6000,5820
4,5920,252,-18.2,-0.1,18.8,0.5,6.8,-5.8,1,-0.1,-13,14,,6100,5920
4,6020,258,-17.7,-0.1,19.2,0.6,6.1,-6.9,0.1,-1,-14,13,,6200,6020
4,6120,264,-17.4,-0.1,19.6,0.6,6.3,-7.1,0.1,-0.9,-15,13,,6300,6120
4,6220,270,-17.2,-0.1,20,0.6,7.3,-7.2,0.9,-0.1,-15,15,,6400,6220
4,6320,276,-17.2,-0.1,20.5,0.6,8.4,-7.4,0.9,-0.1,-15,15,,6500,6320
4,6420,283,-16.9,-0.1,20.9,0.6,7.7,-8.5,0.1,-0.9,-16,14,,6600,6420
4,6520,289,-16.7,-0.1,21.3,0.6,7.8,-8.6,0.9,-0.9,-17,15,,6700,6520
4,6620,295,-16.5,-0.1,21.7,0.6,8,-8.8,0.9,-0.9,-17,16,,6800,6620
4,6720,302,-16.6,-0.1,22.2,0.6,9.1,-8.2,0.9,-0.9,-17,17,,6900,6720
4,6820,309,-16.6,-0.1,22.6,0.7,9.3,-8.3,0.9,-0.9,-18,18,,7000,6820
4,6920,315,-16.1,-0.1,23.1,0.7,9.5,-8.5,0.9,-0.9,-18,18,,7100,6920
4,7020,323,-16.2,-0.1,23.5,0.7,8.9,-9.6,0.9,-0.9,-20,17,,7200,7020
4,7120,330,-16,-0.1,24,0.7,9.1,-9.8,0.9,-1.7,-20,18,,7300,7120
4,7220,337,-16.1,-0.2,24.5,0.7,10,-9.2,0.9,-0.9,-20,19,,7400,7220
4,7320,345,-15.9,-0.1,25,0.7,10,-9.4,1.7,-0.9,-20,19,,7500,7320
4,7420,352,-15.8,-0.1,25.4,0.7,11,-11,0.9,-1.7,-21,19,,7600,7420
4,7520,360,-15.9,-0.2,25.9,0.7,12,-11,1.7,-0.9,-21,20,,7700,7520
4,7620,368,-15.7,-0.2,26.5,0.8,12,-11,1.6,-0.9,-22,21,,7800,7620
4,7720,376,-15.6,-0.2,27,0.8,12,-11,1.6,-0.9,-23,21,,7900,7720
4,7820,385,-16,-0.2,27.5,0.8,12,-12,0.9,-1.6,-24,22,,8000,7820
4,7920,394,-15.8,-0.2,28.1,0.8,13,-12,1.6,-0.9,-24,23,,8100,7920
4,8020,403,-15.4,-0.2,28.6,0.8,13,-12,1.6,-0.8,-24,23,,8200,8020
4,8120,412,-15.6,-0.2,29.2,0.8,13,-12,1.6,-0.8,-25,24,,8300,8120
4,8220,422,-15.7,-0.2,29.8,0.9,13,-13,0.8,-1.6,-26,24,,8400,8220
4,8320,432,-15.9,-0.2,30.4,0.9,14,-13,1.6,-0.8,-26,25,,8500,8320
4,8420,442,-16.3,-0.3,31,0.9,15,-14,1.5,-0.8,-27,25,,8600,8420
4,8520,453,-16.2,-0.3,31.7,0.9,15,-14,1.5,-0.8,-27,26,,8700,8520
4,8620,464,-15.8,-0.2,32.3,0.9,15,-15,0.8,-1.5,-29,26,,8800,8620
4,8720,476,-16.6,-0.3,33,1,16,-15,1.5,-0.8,-29,27,,8900,8720
4,8820,489,-17.1,-0.3,33.8,1,16,-16,1.5,-0.8,-29,27,,9000,8820
4,8920,502,-17,-0.3,34.5,1,16,-17,0.8,-1.5,-30,28,,9100,8920
4,9020,516,-17.5,-0.4,35.3,1,17,-16,1.4,-0.8,-31,29,,9200,9020
4,9120,531,-18.4,-0.4,36.2,1.1,17,-18,0.8,-1.4,-32,29,,9300,9120
4,9220,548,-19.3,-0.5,37.1,1.1,18,-17,1.4,-0.8,-32,30,,9400,9220
4,9320,566,-19.9,-0.5,38.1,1.1,19,-18,1.4,-0.8,-33,31,,9500,9320
4,9420,587,-22.1,-0.6,39.2,1.2,19,-20,0.7,-1.3,-34,31,,9600,9420
4,9520,611,-25,-0.8,40.5,1.2,20,-20,1.3,-0.7,-35,32,,9700,9520
4,9620,644,-30.7,-1,42.2,1.3,20,-21,0.7,-1.3,-37,33,,9800,9620
